topic_id,human_word_relatedness,human_smoothness
0,1.6842105263157894,1.368421052631579
1,2.789473684210526,2.6315789473684212
2,1.8421052631578947,1.8421052631578947
3,1.736842105263158,1.1578947368421053
4,2.8947368421052633,2.8947368421052633
5,2.8421052631578947,2.6842105263157894
6,1.736842105263158,1.263157894736842
7,2.3157894736842106,2.263157894736842
8,1.736842105263158,1.368421052631579
9,2.0526315789473686,1.5789473684210527
10,2.8947368421052633,2.8421052631578947
11,2.736842105263158,2.6315789473684212
12,1.631578947368421,1.3157894736842106
13,2.263157894736842,2.8421052631578947
14,2.6842105263157894,2.8421052631578947
15,1.5789473684210527,1.105263157894737
16,2.473684210526316,2.6315789473684212
17,2.789473684210526,2.736842105263158
18,2.8947368421052633,2.8947368421052633
19,1.631578947368421,1.4736842105263157
20,2.473684210526316,2.5789473684210527
21,2.736842105263158,2.789473684210526
22,1.4736842105263157,1.105263157894737
23,2.789473684210526,2.789473684210526
24,1.631578947368421,1.5263157894736843
25,2.6315789473684212,2.4210526315789473
26,1.8421052631578947,1.5789473684210527
27,2.8947368421052633,2.8421052631578947
28,2.5789473684210527,2.473684210526316
29,2.4210526315789473,2.6842105263157894
30,1.736842105263158,1.631578947368421
31,1.5789473684210527,1.368421052631579
32,2.6315789473684212,2.6315789473684212
33,2.3684210526315788,2.210526315789474
34,2.8421052631578947,2.789473684210526
35,2.8947368421052633,2.8421052631578947
36,2.473684210526316,2.0526315789473686
37,2.8947368421052633,2.8421052631578947
38,1.736842105263158,1.4210526315789473
39,1.4210526315789473,1.263157894736842
40,1.4736842105263157,1.1578947368421053
