topic_id,llm_coherence,llm_smoothness
0,2.0526315789473686,1.8666666666666667
1,2.210526315789474,2.1176470588235294
2,2.0,1.8888888888888888
3,2.1052631578947367,2.125
4,1.894736842105263,1.7222222222222223
5,1.894736842105263,1.6470588235294117
6,2.0526315789473686,2.0
7,2.1052631578947367,1.9285714285714286
8,2.1052631578947367,2.1666666666666665
9,2.1052631578947367,2.2777777777777777
10,1.9473684210526316,1.8333333333333333
11,1.8421052631578947,1.7647058823529411
12,2.0,2.1176470588235294
13,1.9473684210526316,1.9473684210526316
14,2.1052631578947367,1.875
15,2.111111111111111,2.111111111111111
16,1.9473684210526316,1.9444444444444444
17,1.894736842105263,2.0
18,2.0526315789473686,2.0
19,1.8888888888888888,1.75
20,2.0526315789473686,2.2222222222222223
21,1.9473684210526316,1.9375
22,2.0,1.9444444444444444
23,1.8421052631578947,1.7894736842105263
24,2.0526315789473686,2.0
25,2.0526315789473686,1.7777777777777777
26,1.894736842105263,2.0
27,1.894736842105263,2.1176470588235294
28,2.210526315789474,1.9473684210526316
29,2.0526315789473686,2.0
30,2.0,1.9333333333333333
31,2.1052631578947367,2.0
32,1.894736842105263,1.8333333333333333
33,2.0,1.9230769230769231
34,1.9473684210526316,1.7333333333333334
35,2.0,2.0625
36,1.9473684210526316,1.9411764705882353
37,2.1052631578947367,1.9375
38,1.9473684210526316,1.8333333333333333
39,1.9473684210526316,2.0
40,2.210526315789474,2.0
41,2.1578947368421053,2.176470588235294
42,2.0526315789473686,2.0714285714285716
43,2.0526315789473686,2.0555555555555554
44,2.0,1.8666666666666667
45,2.0,2.0
46,1.9473684210526316,1.7894736842105263
47,2.1052631578947367,1.8823529411764706
48,1.9473684210526316,2.0
49,2.0526315789473686,1.8823529411764706
